player_,Cluster
Andrés Guardado,0
Antonio Barragán,1
Antonio Sanabria,1
Aïssa Mandi,0
Cristian Tello,2
Diego Lainez,1
Emerson,1
Francis Guerrero,0
Giovani Lo Celso,2
Javi García,1
Jesé,1
Joaquín,2
Joel Robles,1
Junior Firpo,0
Loren Morón,0
Marc Bartra,1
Pau López,1
Ryad Boudebouz,1
Sergio Canales,2
Sergio León,1
Sidnei,1
Takashi Inui,1
Wilfrid Kaptoum,1
William Carvalho,0
Zouhair Feddal,1
Alfonso Pedraza,0
Andrés Guardado,0
Antonio Barragán,1
Aïssa Mandi,1
Borja Iglesias,0
Carles Aleñá,1
Cristian Tello,1
Daniel Martín,1
Diego Lainez,1
Emerson,2
Guido Rodríguez,1
Ismael,1
Javi García,1
Joaquín,2
Joel Robles,1
Juanmi,1
Loren Morón,2
Marc Bartra,0
Nabil Fekir,2
Raúl,1
Sergio Canales,2
Sidnei,1
Wilfrid Kaptoum,1
William Carvalho,1
Zouhair Feddal,1
Álex Moreno,2
Édgar González,1
Aitor Ruibal,0
Andrés Guardado,1
Antonio Sanabria,1
Aïssa Mandi,1
Borja Iglesias,0
Claudio Bravo,1
Cristian Tello,0
Diego Lainez,0
Emerson,0
Guido Rodríguez,1
Joaquín,0
Joel Robles,1
Juan Miranda,0
Juanmi,1
Loren Morón,1
Marc Bartra,1
Martín Montoya,1
Nabil Fekir,2
Paul Akouokou,1
Rodri,1
Sergio Canales,2
Sidnei,1
Víctor Ruiz,1
William Carvalho,1
Álex Moreno,0
Aitor Ruibal,1
Andrés Guardado,1
Borja Iglesias,0
Calderón,1
Claudio Bravo,1
Cristian Tello,0
Diego Lainez,1
Germán Pezzella,1
Guido Rodríguez,0
Héctor Bellerín,0
Joaquín,1
Juan Miranda,1
Juanmi,2
Kike Hermoso,1
Loren Morón,1
Marc Bartra,1
Martín Montoya,1
Nabil Fekir,2
Paul Akouokou,1
Raúl,1
Roberto González,1
Rodri,0
Rui Silva,1
Sergio Canales,2
Víctor Camarasa,1
Víctor Ruiz,1
William Carvalho,0
Willian José,0
Youssouf Sabaly,1
Álex Moreno,2
Édgar González,1
Abner,1
Aitor Ruibal,0
Andrés Guardado,1
Ayoze Pérez,0
Borja Iglesias,2
Claudio Bravo,1
Felix Garreta,1
Fran Delgado,1
Germán Pezzella,1
Guido Rodríguez,1
Joaquín,1
Juan Cruz,1
Juan Miranda,0
Juanmi,1
Loren Morón,1
Luiz Felipe,1
Luiz Henrique,0
Martín Montoya,1
Nabil Fekir,0
Paul Akouokou,1
Roberto González,1
Rodri,0
Rui Silva,1
Sergio Canales,2
Víctor Ruiz,1
William Carvalho,0
Willian José,1
Youssouf Sabaly,0
Álex Moreno,0
Édgar González,1
Abde Ezzalzouli,0
Abner,1
Aitor Ruibal,0
Andrés Guardado,1
Assane Diao,0
Ayoze Pérez,2
Borja Iglesias,1
Chadi Riad,1
Claudio Bravo,1
Cédric Bakambu,1
Ezequiel Ávila,1
Fran Vieites,1
Germán Pezzella,1
Guido Rodríguez,1
Héctor Bellerín,0
Isco,2
Johnny Cardoso,1
Juan Cruz,1
Juan Miranda,0
Luiz Felipe,1
Luiz Henrique,0
Marc Bartra,1
Marc Roca,0
Nabil Fekir,0
Pablo Busto,1
Pablo Fornals,0
Paul Akouokou,1
Ricardo Visus,1
Rodri,0
Rui Silva,1
Sergi Altimira,1
Sokratis Papastathopoulos,1
William Carvalho,1
Willian José,0
Youssouf Sabaly,1
